0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	29
	xenakis		X	X	Xenakis – Back to the Roots 	Xenakis – Back to the Roots 	Buch	Book		Xenakis – Back to the Roots Philological Approaches to Electroacoustic Music			Xenakis – Back to the Roots Philological Approaches to Electroacoustic Music		U			masE/masE/masE/femE		Friedl Reinhold/Grill Thomas/Urbanek Nikolaus/Ziegler Michelle	Friedl Reinhold/Grill Thomas/Urbanek Nikolaus/Ziegler Michelle			R	mdw Press	2025	ISBN 978-3-8376-7429-3
	jm						Untertitel	Subtitles		Mutzenbacher			Mutzenbacher		M			femD		Beckermann Ruth	Ruth Beckermann			P	Ruth Beckermann Filmproduktion	2022	
	eis	X					Untertitel	Subtitles		Eismayer			Eismayer		M			masD		Wagner David	David Wagner			P			
	prince						Untertitel	Subtitles	Vater	Mein Vater der Fürst		Father	My Father the Prince		M			femD		Morgan-Schwarzenberg Lila	Lila Morgan-Schwarzenberg			P	Sabotage Films, Neulandfilm Produktion	2022	
	zuck	X					Untertitel	Subtitles		Emile-Erinnerungen eines Vertriebenen			Emile-Recollections of an Exile 		M			masD/femD		Frimmel Rainer/Covi Tizza	Rainer Frimmel/Tizza Covi			P	Vento Film	2023	
	blu						Buch	Book		Entwurf einer architektonischen Gebäudelehre			Thinking Design: Blueprint for an Architecture of Typology 		A			masW		Lechner Andreas	Andreas Lechner			R	Park Books	2021	ISBN 978-3038602460
	grf		G	G	Große Freiheit	Great Freedom	Untertitel	Subtitles		Große Freiheit			Great Freedom		M			masD		Meise Sebastian	Sebastian Meise			P	FreibeuterFilm, Rohfilm	2021	
	sarg						Untertitel	Subtitles		Sargnagel – der Film			Sargnagel – The Movie		M			masD,femD		Ertl Gerhard,Hiebler Sabine	Gerhard Ertl,Sabine Hiebler			P	Golden Girls Filmproduktion, Hiebler-Ertl-Film	2021	
	album						Erzählung	Short fiction	Fotoalbum	Das Fotoalbum		Photo	The Photo Album		L			femW		Roßbacher Verena	Verena Roßbacher			C	INN SITU	2021	ISBN 978-3-903334-27-4
	girk			U		Notes from the Underworld	Untertitel	Subtitles		Aufzeichnungen aus der Unterwelt			Notes from the Underworld		M			masD/femD		Frimmel Rainer/Covi Tizza	Rainer Frimmel/Tizza Covi			P	Vento Film	2020	
	sual						Buch	Book		shut up and listen!	Transdiziplinäres Festival für Musik und Klangkunst		shut up and listen!	Transdisciplinary Festival for Music and Sound Art	U			masE		Gál Bernhard	Bernhard Gál			E	edition sp ce	2019	ISBN 978-3-903089-02-0
	gipsy						Drehbuch	Screenplay		Gipsy Queen			Gipsy Queen		Q			masDW		Tabak Hüseyin	Hüseyin Tabak	Gipsy Queen | Drehbuch, Untertitel:: Regie: Hüseyin Tabak::: Produktion: Dor Film, ARTE, NDR, ORF, 2019	Gipsy Queen | Screenplay, subtitles:: Director: Hüseyin Tabak::: Production company: Dor Film, ARTE, NDR, ORF, 2019	P	Dor Film, ARTE, NDR, ORF	2019	
	nevr		N	N	Nevrland	Nevrland	Drehbuch	Screenplay		Nevrland			Nevrland		Q			masDW		Schmidinger Gregor	Gregor Schmidinger	Nevrland | Drehbuch, Untertitel:: Regie: Gregor Schmidinger::: Produktion: Orbrock Film, 2019	Nevrland | Screenplay, subtitles:: Director: Gregor Schmidinger::: Production company: Orbrock Film, 2019	P	Orbrock Film	2019	
	hidden						Buch	Book		Versteckt Verbunden 			Hidden Alliances		U			femE		Schimana Elisabeth	Elisabeth Schimana			R	Hatje Cantz Verlag	2019	ISBN 978-3-7757-4664-9
	elise						Untertitel, Booklet	Subtitles, Booklet		IMA fiction			IMA fiction		U			femK		Schimana Elisabeth	Elisabeth Schimana	Komponistin, Kuratorin: Elisabeth Schimana::  Portraits über Künstlerinnen aus allen Bereichen der elektronischen Kunst mit einem Fokus auf Klang: :: Elisabeth Schimana, 2018; Beatriz Ferreyra, 2017; Electric Indigo, 2016:::   Produktion: IMA Institut für Medienarchäologie	Composer, curator: Elisabeth Schimana:: Portrait series dedicated to female media artists with a focus on sonic art: ::  Elisabeth Schimana, 2018; Beatriz Ferreyra, 2017; Electric Indigo, 2016:::   Produced by IMA Institute of Media Archeology				
	stump						Text	Text		Fantasy Studies			Fantasy Studies		U			femK		Stump-Linshalm Petra	Petra Stump-Linshalm			L	orlando records	2018	
	schwanzer		S	S	Schwanzer – Architekt aus Leidenschaft	Schwanzer – Architect. Visionary. Maestro.	Comic	Graphic novel		Schwanzer – Architekt aus Leidenschaft			Schwanzer – Architect. Visionary. Maestro.		A			masB/masA/masW		Schwanzer Karl/Swiczinsky Benjamin/Gruber Max	Karl Schwanzer/Benjamin Swiczinsky/Max Gruber	Architekt: Karl Schwanzer:: Zeichnungen von Benjamin Swiczinsky, Text von Max Gruber::: Verlag: Birkhäuser Verlag, 2018:: ISBN 978-3-0356-1852-5	Architect: Karl Schwanzer:: Illustration by Benjamin Swiczinsky, Text by Max Gruber::: Publisher: Birkhäuser Basel, 2018:: ISBN 978-3-0356-1853-2				
	pi						Buch	Book	Pi	der π-infekt		Pi	der π-infekt		D			masA/masA/femA/femA/femA/femA/		PRINZpod/Ecker Berthold/Hauser Sigrid/Neuburger Susanne/Podgorschek Fabia M./Sandhofer Margareta	PRINZpod/Berthold Ecker/Sigrid Hauser/Susanne Neuburger/Fabia M. Podgorschek/Margareta Sandhofer	Künstler: PRINZpod:: Texte von Berthold Ecker, Sigrid Hauser, Susanne Neuburger, Fabia M. Podgorschek, Margareta Sandhofer::: Verlag: fadenbrand, 2018:: ISBN 978-3-9503-0916-4	Artists: PRINZpod:: Texts by Berthold Ecker, Sigrid Hauser, Susanne Neuburger, Fabia M. Podgorschek, Margareta Sandhofer::: Publisher: fadenbrand, 2018:: ISBN 978-3-9503-0916-4				
	sos						Ausstellungstafeln	Gallery texts, Labels		SOS Brutalismus			SOS Brutalism		A									M	Architekturzentrum Wien	2018	
	koen		K	K	Koenig Fritz	Koenig Fritz	Essays	Essays		Fritz Koenig – 1924–2017 Die Retrospektive			Fritz Koenig – 1924–2017 The Retrospective		D			masA/masW/masW/masW/masW		Koenig Fritz/Adlon Percy/Rudigier Alexander/Schmidt Eike D./Wieland Dieter	Fritz Koenig/Percy Adlon/Alexander Rudigier/Eike D. Schmidt/Dieter Wieland	Künstler: Fritz Koenig:: Textbeiträge von Percy Adlon, Alexander Rudigier, Eike D. Schmidt, Dieter Wieland::: Verlag: SILLABE, 2018:: ISBN 978-88-3340-037-2	Artist: Fritz Koenig:: Texts by Percy Adlon, Alexander Rudigier, Eike D. Schmidt, Dieter Wieland::: Publisher: SILLABE, 2018:: ISBN 978-88-3340-037-2				
X	wald						Untertitel	Subtitles	Waldheims	Waldheims Walzer		Waldheim	The Waldheim Waltz		M			femD		Beckermann Ruth	Ruth Beckermann			P	Ruth Beckermann Filmproduktion	2018	
X	koex						Essays	Essays		Koexistenzen			Coexistences		D			masA/masW/femW		Niedermayr Walter/Ritter Arno/Hausknotz Florentina	Walter Niedermayr/Arno Ritter/Florentina Hausknotz	Künstler: Walter Niedermayr:: Textbeiträge von Florentina Hausknotz, Arno Ritter::: Verlag: Hatje Cantz Verlag, 2017:: ISBN 978-3-7757-4390-7	Artist: Walter Niedermayr:: Texts by Florentina Hausknotz, Arno Ritter::: Publisher: Hatje Cantz Verlag, 2017::  ISBN 978-3-7757-4390-7	R	Hatje Cantz Verlag	2017	ISBN 978-3-7757-4390-7
	binder						Lyrik	Lyric poetry	En El Amor	En El Amor		En El Amor	En El Amor		L			masW		Binder Ernst M.	Ernst M. Binder	Texte im Booklet zur CD En El Amor von Nataša Mirković:: Autor: Ernst M. Binder::: Label: Carpe Diem Records, 2017	Texts in the CD booklet En El Amor by Nataša Mirković:: Author: Ernst M. Binder::: Label: Carpe Diem Records, 2017	L	Carpe Diem Records	2017	
	simeon						Essay	Essay		skin double			skin double		U			masW		Pironkoff Simeon	Simeon Pironkoff	Texte im Booklet zur CD skin double von Simeon Pironkoff:: Autor (Pieces): Juri Giannini::: Label: Gega new, 2017 	Texts in the CD booklet skin double by Simeon Pironkoff:: Author (Pieces): Juri Giannini::: Label: Gega new, 2017	L	Gega new	2017	
X	untitled		U				Text	Text		Untitled			Untitled		M			masD/femD		Glawogger Michael/Willi Monika	Michael Glawogger/Monika Willi			P	Lotus-Film, Razor Film Produktion	2017	
	raumaneignungen						Katalog	Catalogue		Raumaneignungnen		Appro	Appropriations of Space		D			masA		Niedermayr Walter	Walter Niedermayr			R	Hatje Cantz Verlag	2016	ISBN 978-3-7757-4266-5
	stabatmater						Untertitel	Subtitles		Stabat Mater			Stabat Mater		M			masD/masW		Dabernig Josef/Pellandini Bruno 	Josef Dabernig/Bruno Pellandini 	Regie: Josef Dabernig:: Autor: Bruno Pellandini::: Produktion: Josef Dabernig, Badischer Kunstverein Karlsruhe, Kunsthalle Winterthur, 2016	Director: Josef Dabernig:: Author: Bruno Pellandini::: Production company: Josef Dabernig, Badischer Kunstverein Karlsruhe, Kunsthalle Winterthur, 2016				
	diegetraeumten						Untertitel	Subtitles	Getraeu	Die Geträumten		Dream	The Dreamed Ones		M			femD		Beckermann Ruth	Ruth Beckermann			P	Ruth Beckermann Filmproduktion	2016	
	maxbrand		M	M	Maschinen für die Oper. Der Komponist Max Brand	Machines for the Opera. The Composer Max Brand	Buch	Book		Maschinen für die Oper. Der Komponist Max Brand			Machines for the Opera. The Composer Max Brand		U			masA		Brand Max	Max Brand	Künstler: Max Brand:: Herausgeberin: Elisabeth Schimana::: Verlag: HOLLITZER Verlag, 2016:: ISBN 978-3-99012-327-0	Artist: Max Brand:: Editor: Elisabeth Schimana::: Publisher: HOLLITZER Verlag, 2016:: ISBN 978-3-99012-327-0			2016	
	azw						Katalog	Catalogue		Architektur in Österreich im 20. und 21. Jahrhundert			Architecture in Austria in the 20th & 21st Centuries		A							Herausgeber: Architekturzentrum Wien::: Verlag: Park Books, 2015:: ISBN 978-3-03860-010-7	Editor: Architekturzentrum Wien::: Verlag: Park Books, 2015:: ISBN 978-3-03860-011-4	E	Architekturzentrum Wien	2015	
	siebzehn						Untertitel	Subtitles		Siebzehn			Seventeen		M			femD		Art Monja	Monja Art			P	Orbrock Filmproduktion GmbH	2016	
	hotelrr						Untertitel	Subtitles		Hotel Rock 'n' Roll			Hotel Rock 'n' Roll		M			masD/masD		Ostrowski Michael/Köpping Helmut	Michael Ostrowski/Helmut Köpping			P	DOR Film	2016	
	atmen						Untertitel	Subtitles		Atmen			Breathing		M			masD		Markovics Karl	Karl Markovics			P	epo-film	2011	
	kommsuessertod						Untertitel	Subtitles		Komm, süsser Tod			Come, Sweet Death		M			masD		Murnberger Wolfgang	Wolfgang Murnberger			P	DOR Film	2000	
	silentium						Untertitel	Subtitles		Silentium			Silentium		M			masD		Murnberger Wolfgang	Wolfgang Murnberger			P	DOR Film	2004	
	knochenmann						Untertitel	Subtitles	Knochenmann	Der Knochenmann		Bone	The Bone Man		M			masD		Murnberger Wolfgang	Wolfgang Murnberger			P	DOR Film	2009	
	ewigeleben								Ewige	Das ewige Leben			Life Eternal		M			masD		Murnberger Wolfgang	Wolfgang Murnberger			P	DOR Film	2015	
	crownhall		C		Crown Hall		Essay	Essay		Mies van der Rohe. Crown Hall	 	Mies	Mies van der Rohe. Crown Hall	 	A			masE		Blaser Werner	Werner Blaser			R	Birkhäuser	2001	ISBN 978-3-7643-6447-2
	dogdays						Untertitel	Subtitles		Hundstage			Dog Days		M			masD		Seidl Ulrich	Ulrich Seidl			P	Allegro-Film Ges.m.b.H	2001	
	earthfell						Buch	Book	Erde	Die Erde ist auf den Satz gefallen			Earth Fell on my Sentences		L			femW		Juza Ulrike	Ulrike Juza	Autorin: Ulrike Juza::: © Ulrike Juza, 2010:: ISBN 978-3-9502905-0-9	Author: Ulrike Juza::: © Ulrike Juza, 2011:: ISBN 978-3-9502905-3-0			2010	ISBN 978-3-9502905-0-9
	erdbeer	X					Untertitel	Subtitles		Erdbeerland			Erdbeerland		L			masD		Pochlatko Florian	Florian Pochlatko			P	Pochlatko Film	2012	
	frank		F	F	Frank Josef 	Frank Josef 	Essays	Essays		Josef Frank. Schriften			Josef Frank: Writings		A			masE/masE/femE		Bojankin Tano/Long Christopher/Meder Iris	Tano Bojankin/Christopher Long/Iris Meder			R	Metroverlag	2012	ISBN 978-3-99300-086-8
	nacktschnecken						Untertitel	Subtitles		Nacktschnecken			Slugs		M			masD		Glawogger Michael	Michael Glawogger			P	DOR Film	2004	
	wmd		W	W	Workingman’s Death (Film)	Workingman’s Death (Film)	Untertitel	Subtitles		Workingman’s Death (Film)			Workingman’s Death (Film)		M			masD		Glawogger Michael	Michael Glawogger			P	Lotus-Film, Quinte Film	2005	
	slumming						Untertitel	Subtitles		Slumming			Slumming		M			masD		Glawogger Michael	Michael Glawogger			P	Lotus-Film	2006	
	contacthigh						Untertitel	Subtitles		Contact High			Contact High		M			masD		Glawogger Michael	Michael Glawogger			P	Lotus-Film	2006	
	vaterspiel	X					Untertitel	Subtitles	Vater	Das Vaterspiel			Kill Daddy Goodnight		M			masD		Glawogger Michael	Michael Glawogger			P	Degeto Film GmbH, Lotus Film, Newgrange Pictures	2009	
	whoresgloryfilm						Untertitel	Subtitles		Whores’ Glory (Film)			Whores’ Glory (Film)		M			masD		Glawogger Michael	Michael Glawogger			P	Lotus-Film	2011	
	whoresglorybook						Buch	Book		Whores’ Glory (Buch)			Whores’ Glory (Book)		L			masW		Glawogger Michael	Michael Glawogger	Ein Triptychon zur Prostitution::: Autor: Michael Glawogger::: Verlag: Orange Press, 2011:: ISBN 978-3-936086-56-0 	A Triptych on Prostitution::: Author: Michael Glawogger	R	Orange Press	2011	ISBN 978-3-936086-56-0
	wmdbook						Buch	Book		Workingman’s Death (Buch)			Workingman’s Death (Book)		L			masW		Glawogger Michael	Michael Glawogger	Bilder und Texte zur Arbeit im 21. Jahrhundert::: Autor: Michael Glawogger::: Verlag: Mandelbaum Verlag, 2006:: ISBN 978-385476-186-0 	Images & Texts on Work in the 21st Century::: Author: Michael Glawogger	R	Mandelbaum Verlag	2006	ISBN 978-385476-186-0
	honeybunny		E		eat design		Buch	Book		eat design			eat design		D			masW/femW		Hablesreiter Martin/Stummerer Sonja	Martin Hablesreiter/ Sonja Stummerer			R	Metro Verlag Wien	2013	ISBN 978-3-99300-152-0
	importexport		I	I	Import-Export	Import-Export	Untertitel	Subtitles		Import-Export			Import-Export		M			masD		Seidl Ulrich	Ulrich Seidl			P	Ulrich Seidl Film Produktion GmbH	2007	
X	jirkuff						Kurzfilm	Short film		Boyz in the Wood			Boyz in the Wood		D			femA		Jirkuff Susi	Susi Jirkuff			M	Secession	2013	
	kern						Untertitel	Subtitles		Kern			Kern		M			masD/masD		Fiala Severin/Franz Veronika	Severin Fiala/Veronika Franz			P	Ulrich Seidl Film Produktion GmbH	2012	
	kochennachbildern	X					Kochbuch	Cookbook		Kochen nach Bildern			Figlmüller – Viennese Cuisine		K			masW/masW		Figlmüller Hans Jr./Thomas	Hans Jr./Thomas Figlmüller			R	echomedia buchverlag ges. m.b.h.	2012	ISBN 978-3-90290-009-8
X	keramik		T	T	Thomas Bohle	Thomas Bohle	Buch	Book		Thomas Bohle: Keramische Objekte – Innere Räume			Thomas Bohle: Ceramic Objects – Inner Spaces		D			masW/masA/masW/masW		Gögl Hans-Joachim/ Bohle Thomas/ Nievergelt Frank/ Sagmeister Rudolf	Hans-Joachim Gögl/Thomas Bohle/Frank Nievergelt/Rudolf Sagmeister	Künstler: Thomas Bohle:: Textbeiträge von Hans-Joachim Gögl, Frank Nievergelt, Rudolf Sagmeister::: Verlag: ARNOLDSCHE Art Publishers, 2015:: ISBN 978-3-89790-431-6	Artist: Thomas Bohle:: Texts by Hans-Joachim Gögl, Frank Nievergelt, Rudolf Sagmeister::: Publisher: ARNOLDSCHE Art Publishers, 2015:: ISBN 978-3-89790-431-6	R	ARNOLDSCHE Art Publishers	2015	ISBN 978-3-89790-431-6
	luftzigarette						Text, Essay	Text, Essay		Luftzigarette			Air Cigarette		D			masA/masW		Kopf Elisabeth/Reif Cosima	Elisabeth Kopf/Cosima Reif	Ein Medienprojekt von Elisabeth Kopf, Baustelle:: Textbeitrag von Cosima Reif: Liebe mit dem Ohr::: Erschienen als Beilage Der Standard, Silvester 2004 | Neujahr 2005:: [www.luftzigarette.com](http://www.luftzigarette.com/)	A media project by Elisabeth Kopf, Baustelle:: Essay by Cosima Reif: Earotic Love::: Exhibitions: Gallery éf, Tokyo, 2008; GDB 5 – 5th International Graphic Design Biennial Ningbo, China, Ningbo Museum of Art, 2008; Grafist 16 – International Graphic Design Week, Mimar Sinan Fine Arts University Istanbul, 2012:: [www.luftzigarette.com](http://www.luftzigarette.com/)				
	sonne						Essay	Essay		Wir denken um! Eine Gesundschlachtung ...			Rethinking? Yes We Can! Lopping off Deadwood ...		D			masA		monochrom	monochrom	Künstler: monochrom::: © edition mono/monochrom, 2014:: ISBN 978-3-902796-08-0	Artist: monochrom::: © edition mono/monochrom, 2014:: ISBN 978-3-902796-08-0	E	edition mono/monochrom    	2014	ISBN 978-3-902796-08-0
	monochrom	X					Essay	Essay		Context Hacking			Context Hacking		L			masA		monochrom	monochrom			E	edition mono/monochrom 	2013	
	niedermayr						Essay	Essay		Appearances			Appearances		D			masA/masW		Niedermayr Walter/Hauser Sigrid	Walter Niedermayr/Sigrid Hauser	Künstler: Walter Niedermayr:: Autorin: Sigrid Hauser::: Verlag: Skira Editore S.p.A., 2011::  ISBN 978-8857209753	Artist: Walter Niedermayr:: Author: Sigrid Hauser::: Publisher: Skira Editore S.p.A., 2011:: ISBN 978-8857209753	R	Skira Editore S.p.A. 	2011	ISBN 978-8857209753
?	oswaldegger	X							 	Oswald Egger			Oswald Egger		L									E	Hotel Therme Vals	2008	
	paradiesglaube		P	P	Paradies – Glaube	Paradise – Faith	Untertitel	Subtitles		Paradies – Glaube			Paradise – Faith		M			masD		Seidl Ulrich	Ulrich Seidl			P	Ulrich Seidl Film Produktion GmbH	2012	
	quadratsch		O	O	Oswald Egger	Oswald Egger	Lyrik	Lyric poetry	uberbaume	...über Bäume, Hügel, und hintere Hindernisse.		Over	...over trees, hills, and yonder obstacles.		L			masW		Egger Oswald	Oswald Egger	Texte im Booklet zur CD Stubenmusic von Quadrat:sch:: Autor: Oswald Egger::: Label: Colegno, 2011	Texts in the CD booklet Stubenmusic by Quadrat:sch:: Author: Oswald Egger::: Label: Colegno, 2011	L	Colegno	2011	
	revanche		R	R			Untertitel	Subtitles		Revanche			Revanche		M			masD		Spielmann Götz	Götz Spielmann			P	Prismafilm, Spielmann Film	2008	
	spiluttini		A	A	Archiv der Räume	Archive of Spaces	Katalog	Catalogue		Archiv der Räume			Archive of Spaces		D			femA/masW/masW/femW/femW		Spiluttini Margherita/Kapfinger Otto/Ruhl Carsten/Hauser Sigrid/Zintzen Christiane	Margherita Spiluttini/Otto Kapfinger/Carsten Ruhl/Sigrid Hauser/Christiane Zintzen	Künstlerin: Margherita Spiluttini:: Katalogbeiträge von Sigrid Hauser, Otto Kapfinger, Carsten Ruhl, Christiane Zintzen::: Verlag: Fotohof edition, 2015:: ISBN 978-3-902993-09-0	Artist: Margherita Spiluttini:: Catalogue texts by Sigrid Hauser, Otto Kapfinger, Carsten Ruhl, Christiane Zintzen::: Publisher: Fotohof edition, 2015:: ISBN 978-3-902993-09-0	R	Fotohof edition	2015	ISBN 978-3-902993-09-0
	tuorwasser	X								Stein und Wasser			Stone and Water		A									E	Hotel Therme Vals	2009	
	tuorsettembrini						Roman (Auszug)	Novel (excerpt)		Settembrini			Settembrini		L			masW		Tuor Leo	Leo Tuor	Autor: Leo Tuor::: Verlag: Limmat Verlag, 2012:: ISBN 978-3-85791-624-3	Author: Leo Tuor::: Publisher: Limmat Verlag, 2012:: [www.settembrini.ch](https://www.yumpu.com/en/document/view/460239/settembrini-life-and-opinions)	R	Limmat Verlag	2012	ISBN 978-3-85791-624-3
	unterblinden				Unter Blinden		Untertitel	Subtitles		Unter Blinden			Among the Blind		M			femD		Spreitzhofer Eva	Eva Spreitzhofer			P	epo-film	2015	
	ueberdiejahre						Untertitel	Subtitles	uberjahre	Über die Jahre			Over the Years		M			masD		Geyrhalter Nikolaus	Nikolaus Geyrhalter			P	Nikolaus Geyrhalter Filmproduktion GmbH	2015	
	untergangdesabendl	X								Der Untergang des Abendlandes			The Decline of Alpenland		L			masD		Berger Christian	Christian Berger			 		2007	
	vorderarchitektur						Katalog	Catalogue		Vor der Architektur 			Before Architecture		A			masW/femE/masW/masW/masW/masW/masW/masW		Czech Hermann/Götz Bettina/Kaiser Gabriele/Kühn Christian/PAUHOF Architekten/Ritter Arno/Sewing Werner/Temel Robert	Hermann Czech/ Götz Bettina/ Gabriele Kaiser/ Christian Kühn/ PAUHOF Architekten/  Arno Ritter/ Werner Sewing/ Robert Temel	::: Herausgeberin: Bettina Götz:: Katalogbeiträge von Hermann Czech, Gabriele Kaiser, Christian Kühn, PAUHOF Architekten, Arno Ritter, Werner Sewing, Robert Temel::: Verlag: Springer-Verlag Wien, 2008::  ISBN 978-3211094259	::: Editor: Bettina Götz:: Catalogue texts by Hermann Czech, Gabriele Kaiser, Christian Kühn, PAUHOF Architekten, Arno Ritter, Werner Sewing, Robert Temel::: Publisher: Springer-Verlag Wien, 2008:: ISBN 978-3211094259	R	Springer-Verlag Wien	2008	ISBN 978-3211094259
	wissenschafft	X					Buch	Book		Wissen schafft Unternehmen			Knowledge Loves Company		S 			masE		Gögl Hans-Joachim/Schedler Clemens	Hans-Joachim Gögl/Clemens Schedler			R	Haupt Verlag AG	2006	ISBN 978-3-258-07182-4
	xkatalog	X								Robert Adrian X – Katalog			Robert Adrian X – catalog		A									R	Folio Verlag	2001	
